"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C11,C13","5","10µF","","","","",""
"C4,C6,C9,C10,C12","5","100nF","","","","",""
"C5,C7,C8","3","1µF","","","","",""
"D1,D2,D3","3","LED","","","","",""
"D4,D5,D6,D7,D8,D9,D10,D11,D12","9","1N4148W","","","","Diode_SMD:D_SOD-123","https://www.vishay.com/docs/85748/1n4148w.pdf"
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","Conn_01x02","","","","",""
"J3","1","SH1106 OLED","","","","",""
"J4","1","MAX98357A","","","","",""
"J5","1","DRV8833","","","","",""
"R1,R2","2","5.1k","","","","",""
"R3","1","2k","","","","",""
"R4,R5","2","100k","","","","",""
"R6,R7,R13,R14,R15","5","10k","","","","",""
"R8,R9","2","4.7k","","","","",""
"R10,R11,R12","3","1k","","","","",""
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11","11","SW_Push","","","","",""
"U1","1","TP4056-42-ESOP8","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf"
"U2","1","AP2112K-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf"
"U3","1","ESP32-S3-WROOM-1","","","","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
