Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C2, C3",0603,4,10µF,
"C10, C4, C6, C9",0603,4,100nF,
"C5, C7, C8",0603,3,1µF,
"D1, D2, D3",0805,3,LED,
J1,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_16P,
J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,
J3,PinHeader_1x08_P2.54mm_Vertical,1,OLED,
J4,PinHeader_1x07_P2.54mm_Vertical,1,MAX98357A,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Rocker Switch,
J6,PinHeader_1x08_P2.54mm_Vertical,1,ButtonRibbonConnector,
"R1, R2",0603,2,5.1k,
"R10, R11, R12",0603,3,1k,
R3,0603,1,2k,
"R4, R5",0603,2,100k,
"R6, R7",0603,2,10k,
"SW1, SW2",SW_SPST_TL3342,2,SW_Push,
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
U2,SOT-23-5,1,AP2112K-3.3,
U3,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
