Designator,Mid X,Mid Y,Rotation,Layer
CHOC1,26.5,-22.5,0.0,top
CHOC2,44.5,-22.5,0.0,top
CHOC3,62.5,-22.5,0.0,top
CHOC4,26.5,-40.5,0.0,top
CHOC5,44.5,-40.5,0.0,top
CHOC6,62.5,-40.5,0.0,top
CHOC7,26.5,-58.5,0.0,top
CHOC8,44.5,-58.5,0.0,top
CHOC9,62.5,-58.5,0.0,top
D1,18.0,-22.5,270.0,bottom
D2,36.0,-22.5,270.0,bottom
D3,54.0,-22.5,270.0,bottom
D4,18.0,-40.5,270.0,bottom
D5,36.0,-40.5,270.0,bottom
D6,54.0,-40.5,270.0,bottom
D7,18.0,-58.5,270.0,bottom
D8,36.0,-58.5,270.0,bottom
D9,54.0,-58.5,270.0,bottom
J1,53.39,-69.5,270.0,bottom
R1,48.0,-67.0,180.0,bottom
R2,52.0,-67.0,180.0,bottom
R3,56.0,-67.0,180.0,bottom
