Designator,Mid X,Mid Y,Rotation,Layer
C1,42.5,-21.0,90.0,top
C10,46.825,-33.4,0.0,top
C11,46.825,-31.2,0.0,top
C2,33.0,-21.0,90.0,top
C3,14.0,-48.0,180.0,top
C4,14.0,-50.0,180.0,top
C5,50.75,-48.5,180.0,top
C6,50.25,-44.475,270.0,top
C7,40.5,-21.0,90.0,top
C8,31.0,-21.0,90.0,top
C9,46.5,-18.0,180.0,top
D1,42.7375,-16.0,0.0,top
D2,42.7375,-13.7,0.0,top
D3,15.0,-24.0,0.0,top
J1,25.025,-15.57,180.0,top
J2,56.0,-22.25,180.0,top
J3,39.0,-38.31,0.0,top
J4,44.5,-43.88,180.0,top
J5,51.5,-16.005,180.0,top
J6,23.35,-52.5,90.0,top
R1,27.0,-20.0,0.0,top
R10,46.5,-16.0,180.0,top
R11,46.5625,-13.7,180.0,top
R12,15.0,-26.0,0.0,top
R2,23.175,-20.0,180.0,top
R3,42.5,-18.0,0.0,top
R4,46.5,-20.0,0.0,top
R5,46.5,-22.0,180.0,top
R6,50.25,-52.5,0.0,top
R7,50.25,-41.2,270.0,top
SW1,56.75,-50.5,180.0,top
SW2,56.5,-43.5,0.0,top
U1,36.0,-16.0,90.0,top
U2,36.0,-21.0,0.0,top
U3,18.580603,-36.818961,90.0,top
